Dirección,Ciudad y CP,Colecciones,Latitud,Longitud,Hub_Logístico,Superficie_Est
Av del Gran Capitán 14 16,Córdoba 14001,Mujer,37.8890855,-4.7827513,Sevilla,Estándar (~250-300m²)
Ps Independencia 19 LOCAL,Zaragoza 50001,Mujer+Hombre+Niños,41.6522319,-0.8810655,Zaragoza,Grande (~600-800m²)
"CC Baricentro - Cr Nacional 150 Km 6, 7 (Polígono Industrial A)",Barberà del Vallès 08210,Mujer+Niños,41.5172534,2.1265942,Barcelona,Mediana (~400m²)
Concepción 17,Huelva 21001,Mujer,37.2746995,-6.8340901,Sevilla,Estándar (~250-300m²)
CC La Maquinista - C/ Potosí 2 local B-34,Barcelona 08030,Mujer+Hombre,41.3752877,2.1495932,Barcelona,Mediana (~400m²)
El Ingenio - Av Juan Carlos I S-N (Polígono Industrial la Pañoleta),VÉLEZ-MÁLAGA 29740,Mujer,36.7261122,-4.1540755,Málaga,Estándar (~250-300m²)
Real 85,A Coruña 15003,Mujer,43.4279492,-8.2440321,Santiago,Estándar (~250-300m²)
CC Maremagnum - Moll d'Espanya S-N,Barcelona 08039,Mujer,41.3748291,2.1496286,Barcelona,Estándar (~250-300m²)
Aqua Multiespacio - Menorca bl esq Pintor Maella,Valencia 46023,Mujer+Hombre,39.4657654,-0.3817825,Valencia,Mediana (~400m²)
CC Txingudi - Lg Barrio Ventas 80 Parque Comercial Txingudi,Irun 20305,Mujer+Niños,43.3383176,-1.7888095,Bilbao,Mediana (~400m²)
Parquesur - Av Gran Bretaña 24,LEGANÉS 28916,Mujer+Hombre,40.3274742,-3.7639883,Madrid,Mediana (~400m²)
Preciados 10,Madrid 28013,Mujer+Hombre,40.4177935,-3.7044204,Madrid,Mediana (~400m²)
Tinte 5,ALBACETE 02001,Mujer,38.9931222,-1.8563816,Valencia,Estándar (~250-300m²)
La Gavia - Av de las Suertes S/N,Madrid 28051,Mujer+Hombre+Niños,40.4237276,-3.6899043,Madrid,Grande (~600-800m²)
Gran Vía 32,MADRID 28013,Mujer,40.420446,-3.7038239,Madrid,Estándar (~250-300m²)
CC Zielo Shopping - Av Europa 26 B Vía de las Dos Castillas esq Ctra de Aravaca,Pozuelo de Alarcón 28224,Mujer,40.4425327,-3.8075498,Madrid,Estándar (~250-300m²)
"La Salera - Cr Nacional 340 Km 500, carr. nacional, 64",Castellón de la Plana 12006,Mujer+Hombre,39.9579071,-0.0116314,Valencia,Mediana (~400m²)
CC Plaza Norte 2 - Pz Comercio 11-12 12,MADRID 28703,Hombre,40.4237276,-3.6899043,Madrid,Estándar (~250-300m²)
CC INTU XANADU - Cr Nac V Km 23500 marg Iz A,Arroyomolinos 28939,Mujer+Hombre+Niños,40.2729225,-3.9157978,Madrid,Grande (~600-800m²)
Bahia Sur - Caño Herrera S-N,SAN FERNANDO 11100,Mujer,36.4646672,-6.1983492,Sevilla,Estándar (~250-300m²)
Gaztambide-carrera 8,TUDELA 31500,Mujer,42.0618793,-1.6044328,Zaragoza,Estándar (~250-300m²)
almorida 1,Elche 03203,Mujer,38.2653612,-0.6954633,Valencia,Estándar (~250-300m²)
Av Mediterráneo 1,Benidorm 03503,Mujer,38.5373436,-0.1247376,Valencia,Estándar (~250-300m²)
"CC Gran Plaza 2 - Químicos 2, local B048",Majadahonda 28222,Mujer,40.4617263,-3.8662579,Madrid,Estándar (~250-300m²)
Fuencarral 4,Madrid 28004,Hombre,40.4203599,-3.7014628,Madrid,Estándar (~250-300m²)
Bolsa 1,Málaga 29015,Mujer,36.7192916,-4.4212425,Málaga,Estándar (~250-300m²)
Holea - Ronda Exterior Sur S-N,Huelva 21007,Mujer+Hombre+Niños,37.2575874,-6.9484945,Sevilla,Grande (~600-800m²)
Velázquez 7,Sevilla 41001,Hombre,37.3915212,-5.9953069,Sevilla,Estándar (~250-300m²)
Gran Vía Diego López de Haro 13,Bilbao 48001,Mujer+Hombre+Niños,43.2692319,-2.9319418,Bilbao,Grande (~600-800m²)
Ps Gràcia 36,Barcelona 08007,Mujer+Hombre,41.3752877,2.1495932,Barcelona,Mediana (~400m²)
Av Carlos III El Noble 31,Pamplona 31002,Mujer,42.8135888,-1.6394157,Bilbao,Estándar (~250-300m²)
"Nevada - Av. DE LAS PALMERAS, 75",Armilla 18100,Niños,37.1465267,-3.61355,Málaga,Estándar (~250-300m²)
Sant Miquel 18,Palma 07002,Mujer+Niños,39.5723921,2.6521309,Palma,Mediana (~400m²)
Consolación 9,Torrelavega 39300,Mujer,43.3491586,-4.0482461,Bilbao,Estándar (~250-300m²)
Puerto Venecia - Av Casa de la Colina S-N L104,Zaragoza 50021,Hombre+Casa,41.6522319,-0.8810655,Zaragoza,Mediana (~400m²)
